id,city,country,job_title,primary_skills,secondary_skills,experience_lower,experience_upper,all_skills,skill_metadata,location,job_text
4542,,malaysia,"functional lead with oracle erp cloud - ar,gl,order mangement, inventory","sql, google dataflow, google bigquery",aws paas,0,0,"sql, google dataflow, google bigquery, aws paas","{""sql"": {""category"": ""primary""}, ""google dataflow"": {""category"": ""primary""}, ""google bigquery"": {""category"": ""primary""}, ""aws paas"": {""category"": ""secondary""}}",malaysia,"job posting job title: functional lead with oracle erp cloud - ar,gl,order mangement, inventory location: malaysia primary skills: sql, google dataflow, google bigquery secondary skills: aws paas experience: 0 - 0 years"
4657,,israel,microsoft full stack senior architect with angular,"full stack - .net, angular, asp.net mvc",,0,0,"full stack - .net, angular, asp.net mvc","{""full stack - .net"": {""category"": ""primary""}, ""angular"": {""category"": ""primary""}, ""asp.net mvc"": {""category"": ""primary""}}",israel,"job posting job title: microsoft full stack senior architect with angular location: israel primary skills: full stack - .net, angular, asp.net mvc secondary skills: experience: 0 - 0 years"
3898,noida,india,azure data engineer,"sql, azure data factory (adf)","aws paas, safe- agile sw engineering (ase)",0,0,"sql, azure data factory (adf), aws paas, safe- agile sw engineering (ase)","{""sql"": {""category"": ""primary""}, ""azure data factory (adf)"": {""category"": ""primary""}, ""aws paas"": {""category"": ""secondary""}, ""safe- agile sw engineering (ase)"": {""category"": ""secondary""}}","noida, india","job posting job title: azure data engineer location: noida, india primary skills: sql, azure data factory (adf) secondary skills: aws paas, safe- agile sw engineering (ase) experience: 0 - 0 years"
3670,,united states,aws data engineer,"sql, python, amazon glue",,0,0,"sql, python, amazon glue","{""sql"": {""category"": ""primary""}, ""python"": {""category"": ""primary""}, ""amazon glue"": {""category"": ""primary""}}",united states,"job posting job title: aws data engineer location: united states primary skills: sql, python, amazon glue secondary skills: experience: 0 - 0 years"
3549,,hungary,"functional lead with oracle erp cloud - ar,gl,order mangement, inventory","sql, google dataflow, google bigquery",agile-scrum (digital),0,0,"sql, google dataflow, google bigquery, agile-scrum (digital)","{""sql"": {""category"": ""primary""}, ""google dataflow"": {""category"": ""primary""}, ""google bigquery"": {""category"": ""primary""}, ""agile-scrum (digital)"": {""category"": ""secondary""}}",hungary,"job posting job title: functional lead with oracle erp cloud - ar,gl,order mangement, inventory location: hungary primary skills: sql, google dataflow, google bigquery secondary skills: agile-scrum (digital) experience: 0 - 0 years"
3665,,japan,"functional lead with oracle erp cloud - ar,gl,order mangement, inventory","sql, google dataflow, google bigquery",talend mdm,0,0,"sql, google dataflow, google bigquery, talend mdm","{""sql"": {""category"": ""primary""}, ""google dataflow"": {""category"": ""primary""}, ""google bigquery"": {""category"": ""primary""}, ""talend mdm"": {""category"": ""secondary""}}",japan,"job posting job title: functional lead with oracle erp cloud - ar,gl,order mangement, inventory location: japan primary skills: sql, google dataflow, google bigquery secondary skills: talend mdm experience: 0 - 0 years"
3538,,india,"automation tester with python,selenium","selenium, python",,0,0,"selenium, python","{""selenium"": {""category"": ""primary""}, ""python"": {""category"": ""primary""}}",india,"job posting job title: automation tester with python,selenium location: india primary skills: selenium, python secondary skills: experience: 0 - 0 years"
3508,noida,india,full stack java senior technical lead with devops,"springboot, devops solutions, java",aws paas,0,0,"springboot, devops solutions, java, aws paas","{""springboot"": {""category"": ""primary""}, ""devops solutions"": {""category"": ""primary""}, ""java"": {""category"": ""primary""}, ""aws paas"": {""category"": ""secondary""}}","noida, india","job posting job title: full stack java senior technical lead with devops location: noida, india primary skills: springboot, devops solutions, java secondary skills: aws paas experience: 0 - 0 years"
3618,noida,india,full stack java senior technical lead with devops,"springboot, devops solutions, java",aws paas,0,0,"springboot, devops solutions, java, aws paas","{""springboot"": {""category"": ""primary""}, ""devops solutions"": {""category"": ""primary""}, ""java"": {""category"": ""primary""}, ""aws paas"": {""category"": ""secondary""}}","noida, india","job posting job title: full stack java senior technical lead with devops location: noida, india primary skills: springboot, devops solutions, java secondary skills: aws paas experience: 0 - 0 years"
3513,,italy,"functional lead with oracle erp cloud - ar,gl,order mangement, inventory","sql, google dataflow, google bigquery",talend mdm,0,0,"sql, google dataflow, google bigquery, talend mdm","{""sql"": {""category"": ""primary""}, ""google dataflow"": {""category"": ""primary""}, ""google bigquery"": {""category"": ""primary""}, ""talend mdm"": {""category"": ""secondary""}}",italy,"job posting job title: functional lead with oracle erp cloud - ar,gl,order mangement, inventory location: italy primary skills: sql, google dataflow, google bigquery secondary skills: talend mdm experience: 0 - 0 years"
4132,noida,india,full stack java senior architect with angular,"full stack - java, devops solutions, react.js",,0,0,"full stack - java, devops solutions, react.js","{""full stack - java"": {""category"": ""primary""}, ""devops solutions"": {""category"": ""primary""}, ""react.js"": {""category"": ""primary""}}","noida, india","job posting job title: full stack java senior architect with angular location: noida, india primary skills: full stack - java, devops solutions, react.js secondary skills: experience: 0 - 0 years"
4136,noida,india,aws data lead,"sql, snowflake, devops solutions, python, amazon glue",sql server,0,0,"sql, snowflake, devops solutions, python, amazon glue, sql server","{""sql"": {""category"": ""primary""}, ""snowflake"": {""category"": ""primary""}, ""devops solutions"": {""category"": ""primary""}, ""python"": {""category"": ""primary""}, ""amazon glue"": {""category"": ""primary""}, ""sql server"": {""category"": ""secondary""}}","noida, india","job posting job title: aws data lead location: noida, india primary skills: sql, snowflake, devops solutions, python, amazon glue secondary skills: sql server experience: 0 - 0 years"
4094,noida,india,aws senior data engineer,"sql, devops solutions, python, amazon glue",agile-scrum (digital),0,0,"sql, devops solutions, python, amazon glue, agile-scrum (digital)","{""sql"": {""category"": ""primary""}, ""devops solutions"": {""category"": ""primary""}, ""python"": {""category"": ""primary""}, ""amazon glue"": {""category"": ""primary""}, ""agile-scrum (digital)"": {""category"": ""secondary""}}","noida, india","job posting job title: aws senior data engineer location: noida, india primary skills: sql, devops solutions, python, amazon glue secondary skills: agile-scrum (digital) experience: 0 - 0 years"
4248,noida,india,aws data lead,"sql, snowflake, devops solutions, python, amazon glue",,0,0,"sql, snowflake, devops solutions, python, amazon glue","{""sql"": {""category"": ""primary""}, ""snowflake"": {""category"": ""primary""}, ""devops solutions"": {""category"": ""primary""}, ""python"": {""category"": ""primary""}, ""amazon glue"": {""category"": ""primary""}}","noida, india","job posting job title: aws data lead location: noida, india primary skills: sql, snowflake, devops solutions, python, amazon glue secondary skills: experience: 0 - 0 years"
4067,noida,india,microsoft full stack architect with angular,"full stack - .net, angular, asp.net mvc",devops-api_teamcity,0,0,"full stack - .net, angular, asp.net mvc, devops-api_teamcity","{""full stack - .net"": {""category"": ""primary""}, ""angular"": {""category"": ""primary""}, ""asp.net mvc"": {""category"": ""primary""}, ""devops-api_teamcity"": {""category"": ""secondary""}}","noida, india","job posting job title: microsoft full stack architect with angular location: noida, india primary skills: full stack - .net, angular, asp.net mvc secondary skills: devops-api_teamcity experience: 0 - 0 years"
4043,noida,india,full stack java senior architect with angular,"angular, springboot, java",aws paas,0,0,"angular, springboot, java, aws paas","{""angular"": {""category"": ""primary""}, ""springboot"": {""category"": ""primary""}, ""java"": {""category"": ""primary""}, ""aws paas"": {""category"": ""secondary""}}","noida, india","job posting job title: full stack java senior architect with angular location: noida, india primary skills: angular, springboot, java secondary skills: aws paas experience: 0 - 0 years"
4389,,united kingdom,aws senior data lead,"sql, snowflake, devops solutions, python, amazon glue",devops-api_apache ant,0,0,"sql, snowflake, devops solutions, python, amazon glue, devops-api_apache ant","{""sql"": {""category"": ""primary""}, ""snowflake"": {""category"": ""primary""}, ""devops solutions"": {""category"": ""primary""}, ""python"": {""category"": ""primary""}, ""amazon glue"": {""category"": ""primary""}, ""devops-api_apache ant"": {""category"": ""secondary""}}",united kingdom,"job posting job title: aws senior data lead location: united kingdom primary skills: sql, snowflake, devops solutions, python, amazon glue secondary skills: devops-api_apache ant experience: 0 - 0 years"
4027,noida,india,aws data lead,"sql, snowflake, devops solutions, python, amazon glue",sql server,0,0,"sql, snowflake, devops solutions, python, amazon glue, sql server","{""sql"": {""category"": ""primary""}, ""snowflake"": {""category"": ""primary""}, ""devops solutions"": {""category"": ""primary""}, ""python"": {""category"": ""primary""}, ""amazon glue"": {""category"": ""primary""}, ""sql server"": {""category"": ""secondary""}}","noida, india","job posting job title: aws data lead location: noida, india primary skills: sql, snowflake, devops solutions, python, amazon glue secondary skills: sql server experience: 0 - 0 years"
4225,noida,india,"technical lead with react, full stack - java, angular","full stack - java, react, angular",,0,0,"full stack - java, react, angular","{""full stack - java"": {""category"": ""primary""}, ""react"": {""category"": ""primary""}, ""angular"": {""category"": ""primary""}}","noida, india","job posting job title: technical lead with react, full stack - java, angular location: noida, india primary skills: full stack - java, react, angular secondary skills: experience: 0 - 0 years"
4381,noida,india,"aem senior developer with javascript, html/css","html/css, web development_javascript, aem",ibm mdm,0,0,"html/css, web development_javascript, aem, ibm mdm","{""html/css"": {""category"": ""primary""}, ""web development_javascript"": {""category"": ""primary""}, ""aem"": {""category"": ""primary""}, ""ibm mdm"": {""category"": ""secondary""}}","noida, india","job posting job title: aem senior developer with javascript, html/css location: noida, india primary skills: html/css, web development_javascript, aem secondary skills: ibm mdm experience: 0 - 0 years"
