id,state,city,country,job_title,primary_skills,secondary_skills,experience_lower,experience_upper,designation
4993,,Noida,India,,"Unix Shell Scripting,PL/SQL,Informatica",,0,0,"Senior Developer with Unix Shell Scripting, Informatica, PL/SQL"
5129,,Noida,India,,"Springboot,DevOps Solutions,Java",,0,0,Full Stack Java Senior Technical Lead with  DevOps
5123,,Noida,India,,"React,Angular,Java",,0,0,"Senior Developer with react,angular,java"
5127,,,India,,AWS PaaS,Agile-Scrum (Digital),0,0,PMO Associate
4261,,Noida,India,,"SQL,Snowflake,DevOps Solutions,Python,Amazon Glue",SQL Server,0,0,AWS Data Lead
4438,,,Spain,,"SQL,Azure Data Factory (ADF)",Agile-Scrum (Digital),0,0,Azure Data Engineer
5418,,Noida,India,,"C#,ASP.Net,.Net","5G Core Architecture and Interfaces,Azure Private 5G Core",0,0,"Senior Developer with .net,asp.net,c#"
4328,,,United States,,"SQL,Python,Amazon Glue",,0,0,AWS Data Engineer - USA
3285,,Taguig,Philippines,,"React,Javascript,Java",,0,0,"Developer with javascript,react,java Philippines"
3304,,Dubai,United Arab Emirates,,"aras plm,Javascript,PL/SQL",,0,0,"Developer with javascript,PL/SQL,aras plm United Arab Emirates"
3546,,,Korea (the Republic of),,"React,Javascript,CSS",,0,0,"Developer with javascript,react,css South Korea"
4452,,,Chile,,"SQL,DevOps Solutions,Python,Amazon Glue",SAFe- Agile SW Engineering (ASE),0,0,AWS Senior Data Engineer
5410,,Noida,India,,"C++,Python,Java",,0,0,"Developer with python,c++,java"
5233,,Noida,India,,"React,Angular,Java",,0,0,"Developer with react,angular,java"
4295,,,United States,,"SQL,Informatica MDM,Oracle PL/SQL,Python",MySQL,0,0,Informatica MDM Lead
3777,,Noida,India,,"SQL,Snowflake,DevOps Solutions,Python,Amazon Glue",AWS PaaS,0,0,AWS Senior Data Lead
5387,,,Singapore,,"C++,Python,Java",,0,0,"Developer with python,c++,java"
3221,,,United States,,"React,Javascript,CSS",,0,0,GEO Testing USA - SAN
4149,,Noida,India,,"SQL,Snowflake,DevOps Solutions,Python,Amazon Glue",DevOps-API_Apache Ant,0,0,AWS Data Lead
3729,,Noida,India,,"Full Stack - Java,DevOps Solutions,React.js",Javascript,0,0,"Full Stack Java Technical Lead with DevOps, React"
4020,,Noida,India,,"SQL,Snowflake,DevOps Solutions,Python,Amazon Glue",SQL Server,0,0,AWS Data Lead
5234,,Noida,India,,"C#,C++,Python",,0,0,"Senior Developer with c#,python,c++"
3117,,,Austria,,"SQL,Python,Amazon Glue",,0,0,AWS Data Engineer for Austria
3238,,,Costa Rica,,"React,Javascript,Java",,0,0,"Developer with javascript,react,java Costa Rica"
3280,,,Lithuania,,"aras plm,Javascript,PL/SQL",,0,0,"Developer with javascript,PL/SQL,aras plm Lithuania"
4415,,,China,,"SQL,Azure Databricks,Azure Data Factory (ADF),Oracle PL/SQL,Python",AWS PaaS,0,0,Azure Data Lead
DFS__APME__2024__2476455,,Noida,India,,SAP,,0,0,SENIOR SPECIALIST
4525,,Jakarta,Indonesia,,"Angular,Springboot,Java",Agile-Scrum (Digital),0,0,Full Stack Java Senior Architect with Angular
3259,,,Hong Kong,,"React,Javascript,CSS",,0,0,"Developer with javascript,react,css Hong Kong"
1956,,,Portugal,,"Microservices,Node.js,Amazon Web Services (AWS),Java",MySQL,0,0,"Tech lead Java, Node.js, Microservices"
5201,,Dubai,United Arab Emirates,,"JavaScript,React.js,Java",,0,0,"Developer JavaScript,React.js,java"
5204,,,United States,,"iOS,Android,Java",,0,0,"Developer ios,android,java"
2335,,,Russian Federation,,"Devops,Full stack - java,Spring Boot",,0,0,Full Stack Java Tech Architect (DevOps)
